,Year,City1,City2,PaxToCity2,PaxFromCity2,Month Name,Date,Domestic (Airport Footfalls),Domestic (Arriving Pax),Domestic (Departing Pax),Domestic (Arrival Flights),Domestic (Departure Flights),International (Arrival Flights),International (Departure Flights),International (Airport Footfalls),Total_foot_falls,Month
0,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2021-01-05,451941,228009,223932,2206,2198,495.6,442.24,160388.14666666667,843802.24,2021-01
1,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2021-01-18,456297,226717,229580,2088,2091,495.6,442.24,160388.14666666667,843802.24,2021-01
2,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-01,606261,298214,308047,2713,2736,297.0,305.0,87676.0,693937.0,2022-01
3,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-02,708991,350135,358856,2784,2794,314.0,328.0,91281.0,800272.0,2022-01
4,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-03,676848,339300,337548,2818,2810,316.0,310.0,88628.0,765476.0,2022-01
5,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-04,575080,289115,285965,2659,2660,279.0,306.0,81588.0,656668.0,2022-01
6,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-06,501865,253261,248604,2480,2469,286.0,311.0,86939.0,588804.0,2022-01
7,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-05,517351,259280,258071,2539,2543,310.0,307.0,87588.0,604939.0,2022-01
8,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-07,519983,259732,260251,2511,2518,333.0,341.0,95843.0,615826.0,2022-01
9,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-08,482360,241108,241252,2365,2366,330.0,321.0,91923.0,574283.0,2022-01
10,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-09,478321,237526,240795,2414,2409,335.0,344.0,93428.0,571749.0,2022-01
11,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-10,431118,216845,214273,2261,2247,314.0,316.0,86481.0,517599.0,2022-01
12,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-11,376906,187514,189392,2058,2061,302.0,303.0,78886.0,455792.0,2022-01
13,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-12,383736,191895,191841,2028,2035,316.0,317.0,83860.0,467596.0,2022-01
14,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-13,353712,177274,176438,2063,2062,316.0,315.0,79653.0,433365.0,2022-01
15,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-14,336992,169545,167447,1994,1991,337.0,344.0,89669.0,426661.0,2022-01
16,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-15,333220,167542,165678,1907,1903,305.0,305.0,83246.0,416466.0,2022-01
17,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-16,365325,180017,185308,2014,2035,315.0,335.0,84666.0,449991.0,2022-01
18,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-17,354854,178600,176254,1999,1993,313.0,306.0,76395.0,431249.0,2022-01
19,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-19,298895,151071,147824,1621,1610,307.0,299.0,73487.0,372382.0,2022-01
20,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-18,300548,150496,150052,1654,1647,290.0,290.0,68108.0,368656.0,2022-01
21,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-20,313562,156029,157533,1650,1650,305.0,305.0,74790.0,388352.0,2022-01
22,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-21,354118,178236,175882,1782,1794,314.0,328.0,82502.0,436620.0,2022-01
23,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-22,367940,183665,184275,1779,1778,321.0,317.0,78577.0,446517.0,2022-01
24,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-23,366408,179343,187065,1792,1798,324.0,326.0,79358.0,445766.0,2022-01
25,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-24,330676,165156,165520,1681,1661,292.0,289.0,71091.0,401767.0,2022-01
26,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-25,315635,159044,156591,1579,1568,276.0,279.0,65839.0,381474.0,2022-01
27,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-26,350779,174623,176156,1597,1601,297.0,298.0,74733.0,425512.0,2022-01
28,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-27,323159,162562,160597,1525,1515,293.0,296.0,72351.0,395510.0,2022-01
29,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-28,343632,171921,171711,1604,1614,319.0,323.0,85254.0,428886.0,2022-01
30,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-29,357412,177547,179865,1619,1613,309.0,316.0,82741.0,440153.0,2022-01
31,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-30,413373,201381,211992,1803,1808,321.0,314.0,83587.0,496960.0,2022-01
32,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2022-01-31,370566,187694,182872,1702,1690,290.0,288.0,77721.0,448287.0,2022-01
33,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2023-01-03,809057,400087,408970,2877,2883,519.0,442.0,171688.0,980745.0,2023-01
34,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2023-01-07,825678,412818,412860,2899,2899,557.0,444.0,185562.0,1011240.0,2023-01
35,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-01,824050,413337,410713,2905,2920,627.0,513.0,211428.0,1035478.0,2024-01
36,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-02,841664,424399,417265,2948,2951,600.0,498.0,205474.0,1047138.0,2024-01
37,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-03,852279,426956,425323,2879,2873,644.0,495.0,216510.0,1068789.0,2024-01
38,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-04,851460,424434,427026,2868,2869,631.0,508.0,208783.0,1060243.0,2024-01
39,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-05,855709,428766,426943,2877,2879,638.0,518.0,214804.0,1070513.0,2024-01
40,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-06,853059,425272,427787,2787,2786,655.0,514.0,231645.0,1084704.0,2024-01
41,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-07,896930,448292,448638,2901,2904,639.0,543.0,227990.0,1124920.0,2024-01
42,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-08,875530,439399,436131,2933,2932,615.0,504.0,209321.0,1084851.0,2024-01
43,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-09,863281,432336,430945,2927,2936,603.0,496.0,205681.0,1068962.0,2024-01
44,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-10,870927,434620,436307,2905,2899,647.0,498.0,210917.0,1081844.0,2024-01
45,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-11,874597,436535,438062,2933,2936,613.0,508.0,208706.0,1083303.0,2024-01
46,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-12,865955,432842,433113,2875,2873,631.0,511.0,215980.0,1081935.0,2024-01
47,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-13,870165,434473,435692,2870,2883,646.0,500.0,221744.0,1091909.0,2024-01
48,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-14,744842,363583,381259,2547,2552,666.0,502.0,219004.0,963846.0,2024-01
49,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-15,782525,392309,390216,2599,2598,629.0,511.0,208489.0,991014.0,2024-01
50,2021,ADAMPUR,AHMEDABAD,30.0,0.0,January,2024-01-16,840723,423028,417695,2752,2747,585.0,507.0,202549.0,1043272.0,2024-01
